Tid (s);Strekning (m)
0.0;0.0
0.879;1.0
1.169;2.0
1.388;3.0
1.573;4.0
1.737;5.0
1.888;6.0
2.029;7.0
2.162;8.0
2.289;9.0
2.412;10.0
2.53;11.0
2.646;12.0
2.76;13.0
2.871;14.0
2.98;15.0
3.088;16.0
3.195;17.0
3.301;18.0
3.406;19.0
3.511;20.0
3.614;21.0
3.718;22.0
3.821;23.0
3.924;24.0
4.027;25.0
4.13;26.0
4.232;27.0
4.335;28.0
4.438;29.0
4.541;30.0
4.644;31.0
4.747;32.0
4.851;33.0
4.954;34.0
5.058;35.0
5.162;36.0
5.266;37.0
5.371;38.0
5.475;39.0
5.58;40.0
5.685;41.0
5.79;42.0
5.896;43.0
6.002;44.0
6.107;45.0
6.213;46.0
6.32;47.0
6.426;48.0
6.532;49.0
6.639;50.0
6.746;51.0
6.852;52.0
6.959;53.0
7.066;54.0
7.173;55.0
7.281;56.0
7.388;57.0
7.495;58.0
7.602;59.0
7.709;60.0
7.817;61.0
7.924;62.0
8.031;63.0
8.139;64.0
8.246;65.0
8.353;66.0
8.461;67.0
8.568;68.0
8.676;69.0
8.783;70.0
8.89;71.0
8.998;72.0
9.105;73.0
9.212;74.0
9.32;75.0
9.427;76.0
9.534;77.0
9.642;78.0
9.749;79.0
9.856;80.0
9.963;81.0
10.071;82.0
10.178;83.0
10.285;84.0
10.392;85.0
10.499;86.0
10.607;87.0
10.714;88.0
10.821;89.0
10.928;90.0
11.035;91.0
11.143;92.0
11.25;93.0
11.357;94.0
11.464;95.0
11.571;96.0
11.679;97.0
11.786;98.0
11.893;99.0
12.0;100.0
